ClassName;IsAbstractClass;IsFinalClass;IsStaticClass;IsInnerClass;IsPhantomClass;IsInterface;IsConcreteClass;IsEnumClass;MethodName;IsAbstractMethod;IsFinalMethod;IsStaticMethod;IsConstructor;IsPhantomMethod;IsEntryMethod;IsConcreteMethod;hasActiveBody;UnitStatement;SourceCodeLineNumber;IsAssign;IsInvoke;TraversedLines
com.metamx.druid.loading.S3SegmentPusher;false;false;false;false;false;false;true;false;public com.metamx.druid.client.DataSegment push(java.io.File, com.metamx.druid.client.DataSegment) throws java.io.IOException;false;false;false;false;false;false;true;true;virtualinvoke $stack15.<com.metamx.emitter.EmittingLogger: void info(java.lang.String,java.lang.Object[])>("Uploading [%s] to S3", $stack14);66;false;true;[]
com.metamx.druid.loading.S3SegmentPusher;false;false;false;false;false;false;true;false;public com.metamx.druid.client.DataSegment push(java.io.File, com.metamx.druid.client.DataSegment) throws java.io.IOException;false;false;false;false;false;false;true;true;$stack18 = virtualinvoke $stack16.<com.metamx.druid.loading.S3SegmentPusherConfig: java.lang.String getBaseKey()>();68;true;true;[]
com.metamx.druid.loading.S3SegmentPusher;false;false;false;false;false;false;true;false;public com.metamx.druid.client.DataSegment push(java.io.File, com.metamx.druid.client.DataSegment) throws java.io.IOException;false;false;false;false;false;false;true;true;$stack19 = virtualinvoke $stack18.<java.lang.String: boolean isEmpty()>();68;true;true;[]
com.metamx.druid.loading.S3SegmentPusher;false;false;false;false;false;false;true;false;public com.metamx.druid.client.DataSegment push(java.io.File, com.metamx.druid.client.DataSegment) throws java.io.IOException;false;false;false;false;false;false;true;true;$stack33 = virtualinvoke $stack20.<com.metamx.druid.loading.S3SegmentPusherConfig: java.lang.String getBaseKey()>();67;true;true;[]
com.metamx.druid.loading.S3SegmentPusher;false;false;false;false;false;false;true;false;public com.metamx.druid.client.DataSegment push(java.io.File, com.metamx.druid.client.DataSegment) throws java.io.IOException;false;false;false;false;false;false;true;true;$stack32 = virtualinvoke segment.<com.metamx.druid.client.DataSegment: java.lang.String getDataSource()>();67;true;true;[]
com.metamx.druid.loading.S3SegmentPusher;false;false;false;false;false;false;true;false;public com.metamx.druid.client.DataSegment push(java.io.File, com.metamx.druid.client.DataSegment) throws java.io.IOException;false;false;false;false;false;false;true;true;$stack23 = virtualinvoke segment.<com.metamx.druid.client.DataSegment: org.joda.time.Interval getInterval()>();72;true;true;[]
com.metamx.druid.loading.S3SegmentPusher;false;false;false;false;false;false;true;false;public com.metamx.druid.client.DataSegment push(java.io.File, com.metamx.druid.client.DataSegment) throws java.io.IOException;false;false;false;false;false;false;true;true;$stack24 = virtualinvoke $stack23.<org.joda.time.Interval: org.joda.time.DateTime getStart()>();72;true;true;[]
com.metamx.druid.loading.S3SegmentPusher;false;false;false;false;false;false;true;false;public com.metamx.druid.client.DataSegment push(java.io.File, com.metamx.druid.client.DataSegment) throws java.io.IOException;false;false;false;false;false;false;true;true;$stack25 = virtualinvoke segment.<com.metamx.druid.client.DataSegment: org.joda.time.Interval getInterval()>();73;true;true;[]
com.metamx.druid.loading.S3SegmentPusher;false;false;false;false;false;false;true;false;public com.metamx.druid.client.DataSegment push(java.io.File, com.metamx.druid.client.DataSegment) throws java.io.IOException;false;false;false;false;false;false;true;true;$stack26 = virtualinvoke $stack25.<org.joda.time.Interval: org.joda.time.DateTime getEnd()>();73;true;true;[]
com.metamx.druid.loading.S3SegmentPusher;false;false;false;false;false;false;true;false;public com.metamx.druid.client.DataSegment push(java.io.File, com.metamx.druid.client.DataSegment) throws java.io.IOException;false;false;false;false;false;false;true;true;$stack27 = staticinvoke <java.lang.String: java.lang.String format(java.lang.String,java.lang.Object[])>("%s_%s", $stack22);70;true;false;[]
