Cenario;CenKey;Analise;Tool;TP;FP;TN;FN;N;Precision;Recall;Accuracy;F1;FPR
Cenario 6: Parcial TRUE;c6;idfp;RTA;9;18;33;17;77;0.3333;0.3462;0.5455;0.3396;0.3529
Cenario 6: Parcial TRUE;c6;idfp;VTA;7;14;37;19;77;0.3333;0.2692;0.5714;0.2979;0.2745
Cenario 6: Parcial TRUE;c6;idfp;SPARK;7;13;38;19;77;0.35;0.2692;0.5844;0.3043;0.2549
Cenario 7: Parcial TRUE (sem RTA);c7;idfp;CHA;8;20;47;21;96;0.2857;0.2759;0.5729;0.2807;0.2985
Cenario 7: Parcial TRUE (sem RTA);c7;idfp;VTA;7;18;49;22;96;0.28;0.2414;0.5833;0.2593;0.2687
Cenario 7: Parcial TRUE (sem RTA);c7;idfp;SPARK;7;16;51;22;96;0.3043;0.2414;0.6042;0.2692;0.2388
Cenario 8: Paper Principal (sem RTA);c8;idfp;CHA;8;20;47;21;96;0.2857;0.2759;0.5729;0.2807;0.2985
Cenario 8: Paper Principal (sem RTA);c8;idfp;VTA;7;18;50;22;97;0.28;0.2414;0.5876;0.2593;0.2647
Cenario 8: Paper Principal (sem RTA);c8;idfp;SPARK;7;16;54;22;99;0.3043;0.2414;0.6162;0.2692;0.2286
Cenario 1: Timeout = TRUE;c1;or all;CHA;18;52;18;11;99;0.2571;0.6207;0.3636;0.3636;0.7429
Cenario 1: Timeout = TRUE;c1;or all;RTA;20;56;14;9;99;0.2632;0.6897;0.3434;0.381;0.8
Cenario 1: Timeout = TRUE;c1;or all;VTA;16;44;26;13;99;0.2667;0.5517;0.4242;0.3596;0.6286
Cenario 1: Timeout = TRUE;c1;or all;SPARK;13;42;28;16;99;0.2364;0.4483;0.4141;0.3095;0.6
Cenario 2: Timeout = FALSE;c2;or all;CHA;18;45;25;11;99;0.2857;0.6207;0.4343;0.3913;0.6429
Cenario 2: Timeout = FALSE;c2;or all;RTA;16;39;31;13;99;0.2909;0.5517;0.4747;0.381;0.5571
Cenario 2: Timeout = FALSE;c2;or all;VTA;16;41;29;13;99;0.2807;0.5517;0.4545;0.3721;0.5857
Cenario 2: Timeout = FALSE;c2;or all;SPARK;13;42;28;16;99;0.2364;0.4483;0.4141;0.3095;0.6
Cenario 3: Timeout Removido;c3;or all;CHA;15;37;15;10;77;0.2885;0.6;0.3896;0.3896;0.7115
Cenario 3: Timeout Removido;c3;or all;RTA;16;38;14;9;77;0.2963;0.64;0.3896;0.4051;0.7308
Cenario 3: Timeout Removido;c3;or all;VTA;14;32;20;11;77;0.3043;0.56;0.4416;0.3944;0.6154
Cenario 3: Timeout Removido;c3;or all;SPARK;12;32;20;13;77;0.2727;0.48;0.4156;0.3478;0.6154
Cenario 4: Timeout Removido (sem RTA);c4;or all;CHA;18;45;18;11;92;0.2857;0.6207;0.3913;0.3913;0.7143
Cenario 4: Timeout Removido (sem RTA);c4;or all;VTA;16;40;23;13;92;0.2857;0.5517;0.4239;0.3765;0.6349
Cenario 4: Timeout Removido (sem RTA);c4;or all;SPARK;13;38;25;16;92;0.2549;0.4483;0.413;0.325;0.6032
Cenario 5: Resultados Parciais;c5;or all;CHA;18;46;24;11;99;0.2812;0.6207;0.4242;0.3871;0.6571
Cenario 5: Resultados Parciais;c5;or all;RTA;16;39;31;13;99;0.2909;0.5517;0.4747;0.381;0.5571
Cenario 5: Resultados Parciais;c5;or all;VTA;16;41;29;13;99;0.2807;0.5517;0.4545;0.3721;0.5857
Cenario 5: Resultados Parciais;c5;or all;SPARK;13;42;28;16;99;0.2364;0.4483;0.4141;0.3095;0.6
Cenario 6: Parcial TRUE;c6;or all;CHA;15;37;15;10;77;0.2885;0.6;0.3896;0.3896;0.7115
Cenario 6: Parcial TRUE;c6;or all;RTA;16;38;14;9;77;0.2963;0.64;0.3896;0.4051;0.7308
Cenario 6: Parcial TRUE;c6;or all;VTA;14;32;20;11;77;0.3043;0.56;0.4416;0.3944;0.6154
Cenario 6: Parcial TRUE;c6;or all;SPARK;12;32;20;13;77;0.2727;0.48;0.4156;0.3478;0.6154
Cenario 7: Parcial TRUE (sem RTA);c7;or all;CHA;18;46;18;11;93;0.2812;0.6207;0.3871;0.3871;0.7188
Cenario 7: Parcial TRUE (sem RTA);c7;or all;VTA;16;41;23;13;93;0.2807;0.5517;0.4194;0.3721;0.6406
Cenario 7: Parcial TRUE (sem RTA);c7;or all;SPARK;13;39;25;16;93;0.25;0.4483;0.4086;0.321;0.6094
Cenario 8: Paper Principal (sem RTA);c8;or all;CHA;18;46;18;11;93;0.2812;0.6207;0.3871;0.3871;0.7188
Cenario 8: Paper Principal (sem RTA);c8;or all;VTA;16;41;26;13;96;0.2807;0.5517;0.4375;0.3721;0.6119
Cenario 8: Paper Principal (sem RTA);c8;or all;SPARK;13;42;28;16;99;0.2364;0.4483;0.4141;0.3095;0.6
