ClassName;IsAbstractClass;IsFinalClass;IsStaticClass;IsInnerClass;IsPhantomClass;IsInterface;IsConcreteClass;IsEnumClass;MethodName;IsAbstractMethod;IsFinalMethod;IsStaticMethod;IsConstructor;IsPhantomMethod;IsEntryMethod;IsConcreteMethod;hasActiveBody;UnitStatement;SourceCodeLineNumber;IsAssign;IsInvoke;TraversedLines
org.activiti.engine.impl.persistence.entity.HistoricProcessInstanceEntityManager;false;false;false;false;false;false;true;false;public void deleteHistoricProcessInstanceById(java.lang.String);false;false;false;false;false;false;true;true;virtualinvoke $stack14.<org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntityManager: void deleteHistoricIdentityLinksByProcInstance(java.lang.String)>(historicProcessInstanceId);76;false;true;[]
org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntityManager;false;false;false;false;false;false;true;false;public void deleteHistoricIdentityLinksByProcInstance(java.lang.String);false;false;false;false;false;false;true;true;identityLinks = virtualinvoke this.<org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntityManager: java.util.List findHistoricIdentityLinksByProcessInstanceId(java.lang.String)>(processInstanceId);86;true;true;[]
org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntityManager;false;false;false;false;false;false;true;false;public void deleteHistoricIdentityLinksByProcInstance(java.lang.String);false;false;false;false;false;false;true;true;identityLinksFromCache = interfaceinvoke identityLinks.<java.util.List: java.util.Iterator iterator()>();88;true;true;[]
org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntityManager;false;false;false;false;false;false;true;false;public void deleteHistoricIdentityLinksByProcInstance(java.lang.String);false;false;false;false;false;false;true;true;$stack6 = interfaceinvoke identityLinksFromCache.<java.util.Iterator: boolean hasNext()>();88;true;true;[]
org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntityManager;false;false;false;false;false;false;true;false;public void deleteHistoricIdentityLinksByProcInstance(java.lang.String);false;false;false;false;false;false;true;true;$stack14 = interfaceinvoke identityLinksFromCache.<java.util.Iterator: java.lang.Object next()>();88;true;true;[]
org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntityManager;false;false;false;false;false;false;true;false;public void deleteHistoricIdentityLinksByProcInstance(java.lang.String);false;false;false;false;false;false;true;true;virtualinvoke this.<org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntityManager: void deleteHistoricIdentityLink(org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntity)>(identityLink);89;false;true;[]
org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntityManager;false;false;false;false;false;false;true;false;public void deleteHistoricIdentityLinksByProcInstance(java.lang.String);false;false;false;false;false;false;true;true;$stack7 = staticinvoke <org.activiti.engine.impl.context.Context: org.activiti.engine.impl.interceptor.CommandContext getCommandContext()>();93;true;false;[]
org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntityManager;false;false;false;false;false;false;true;false;public void deleteHistoricIdentityLinksByProcInstance(java.lang.String);false;false;false;false;false;false;true;true;$stack8 = virtualinvoke $stack7.<org.activiti.engine.impl.interceptor.CommandContext: org.activiti.engine.impl.db.DbSqlSession getDbSqlSession()>();93;true;true;[]
org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntityManager;false;false;false;false;false;false;true;false;public void deleteHistoricIdentityLinksByProcInstance(java.lang.String);false;false;false;false;false;false;true;true;identityLinksFromCache#3 = virtualinvoke $stack8.<org.activiti.engine.impl.db.DbSqlSession: java.util.List findInCache(java.lang.Class)>(class "Lorg/activiti/engine/impl/persistence/entity/HistoricIdentityLinkEntity ");93;true;true;[]
org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntityManager;false;false;false;false;false;false;true;false;public void deleteHistoricIdentityLinksByProcInstance(java.lang.String);false;false;false;false;false;false;true;true;identityLink#4 = interfaceinvoke identityLinksFromCache#3.<java.util.List: java.util.Iterator iterator()>();94;true;true;[]
org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntityManager;false;false;false;false;false;false;true;false;public void deleteHistoricIdentityLinksByProcInstance(java.lang.String);false;false;false;false;false;false;true;true;$stack9 = interfaceinvoke identityLink#4.<java.util.Iterator: boolean hasNext()>();94;true;true;[]
org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntityManager;false;false;false;false;false;false;true;false;public void deleteHistoricIdentityLinksByProcInstance(java.lang.String);false;false;false;false;false;false;true;true;$stack10 = interfaceinvoke identityLink#4.<java.util.Iterator: java.lang.Object next()>();94;true;true;[]
org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntityManager;false;false;false;false;false;false;true;false;public void deleteHistoricIdentityLinksByProcInstance(java.lang.String);false;false;false;false;false;false;true;true;$stack11 = virtualinvoke identityLinkEntity.<org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntity: java.lang.String getProcessInstanceId()>();95;true;true;[]
org.activiti.engine.impl.persistence.entity.HistoricIdentityLinkEntityManager;false;false;false;false;false;false;true;false;public void deleteHistoricIdentityLinksByProcInstance(java.lang.String);false;false;false;false;false;false;true;true;$stack12 = virtualinvoke processInstanceId.<java.lang.String: boolean equals(java.lang.Object)>($stack11);95;true;true;[]
